repository,package,total_commits,total_added,total_removed,total_churn,total_files,avg_churn_per_commit
camel,org.apache.camel.test.infra.jetty.services,20,1089,265,1354,4,67.7
camel,org.apache.camel.component.file.remote.sftp.integration,30,896,457,1353,45,45.1
camel,org.apache.camel.component.as2.springboot,18,676,676,1352,2,75.11111111111111
camel,tooling.camel-eclipse.camel.routing.src-gen.org.apache.camel.eclipse.parser,1,0,1352,1352,3,1352.0
camel,org.apache.camel.component.stomp.springboot,36,676,676,1352,6,37.55555555555556
camel,test.java.org.apache.camel.component.olingo2,1,0,1350,1350,4,1350.0
camel,org.apache.camel.component.cxf.jaxrs.simplebinding.testbean,10,1210,140,1350,27,135.0
camel,org.apache.camel.component.atmosphere.websocket.springboot,41,674,674,1348,6,32.8780487804878
camel,org.apache.camel.component.drill,53,1012,336,1348,10,25.433962264150942
camel,org.apache.camel.component.azure.storage.blob.client,14,885,463,1348,8,96.28571428571429
camel,org.apache.camel.component.zookeeper.ha,14,1161,181,1342,10,95.85714285714286
camel,org.apache.camel.component.as2.api.protocol,32,949,388,1337,4,41.78125
camel,org.apache.camel.component.quickfixj.examples,28,978,358,1336,5,47.714285714285715
camel,org.apache.camel.util.jndi,32,1041,290,1331,6,41.59375
camel,org.apache.camel.component.smpp.integration,26,1060,271,1331,10,51.19230769230769
camel,org.apache.camel.component.clickup,5,1307,23,1330,14,266.0
camel,org.apache.camel.component.google.secret.manager,47,1247,80,1327,20,28.23404255319149
camel,org.apache.camel.zipkin.starter,14,662,662,1324,12,94.57142857142857
camel,org.apache.camel.component.grape,43,982,341,1323,12,30.767441860465116
camel,org.apache.camel.component.infinispan.remote.cluster,13,1203,116,1319,11,101.46153846153847
camel,org.apache.camel.component.langchain4j.agent.integration,10,1025,294,1319,12,131.9
camel,org.apache.camel.component.jetty.async,35,1044,274,1318,26,37.65714285714286
camel,org.apache.camel.component.elasticsearch.converter,52,585,730,1315,3,25.28846153846154
camel,org.apache.camel.component.mail.stream,3,987,328,1315,5,438.3333333333333
camel,org.apache.camel.component.redis.processor.idempotent,35,968,346,1314,12,37.542857142857144
camel,org.apache.camel.processor.idempotent.jpa,47,855,459,1314,4,27.95744680851064
camel,org.apache.camel.itest.sql,35,808,504,1312,2,37.48571428571429
camel,org.apache.camel.dataformat.bindy.kvp.springboot,41,656,656,1312,6,32.0
camel,org.apache.camel.dataformat.bindy.fixed.springboot,41,656,656,1312,6,32.0
camel,org.apache.camel.component.netty4.http.handlers,38,1015,296,1311,4,34.5
camel,org.apache.camel.component.telegram.integration,29,1063,248,1311,4,45.206896551724135
camel,org.apache.camel.component.azure.storage.datalake.client,9,879,431,1310,10,145.55555555555554
camel,org.apache.camel.component.google.sheets.transform,5,1254,56,1310,5,262.0
camel,org.apache.camel.component.aws2.timestream,10,1290,19,1309,12,130.9
camel,org.apache.camel.component.ahc.ws.springboot,46,653,653,1306,6,28.391304347826086
camel,org.apache.camel.component.azure.servicebus.integration,10,1259,46,1305,6,130.5
camel,org.apache.camel.component.bonita,45,915,388,1303,7,28.955555555555556
camel,org.apache.camel.component.milvus,16,1207,95,1302,18,81.375
camel,org.apache.camel.component.jira.springboot,23,651,651,1302,5,56.608695652173914
camel,org.apache.camel.dataformat.bindy.csv.springboot,41,650,650,1300,6,31.70731707317073
camel,org.apache.camel.test.oauth,8,1199,101,1300,11,162.5
camel,test.java.org.apache.camel.component.atlasmap,1,0,1298,1298,16,1298.0
camel,org.apache.camel.component.aws2.bedrock.runtime.integration,23,1176,121,1297,2,56.391304347826086
