afferent_coupling,avg_method_loc,avg_nesting_depth,blank_lines,bug_severity,cbo,code_smells,cognitive_complexity,comment_lines,comment_ratio,cyclomatic_complexity,defect_type,dit,efferent_coupling,file,halstead_difficulty,halstead_volume,has_comments,has_defect,instability,language,lcom,lines_of_code_actual,loc,maintainability_index,max_method_loc,max_nesting_depth,noc,num_bugs,num_classes,num_fields,num_interfaces,num_methods,num_private_methods,num_public_methods,num_static_methods,project,rfc,technical_debt_hours,total_lines,type,wmc
0,4.875,0.125,27,none,0,2,14.399999999999999,18,0.13333333333333333,12,none,1,0,core\src\main\java\com\alibaba\druid\filter\logging\CommonsLogFilter.java,0,0,True,0,0.0,java,0.0,90,135,100,14,3,0,0,1,8,0,24,0,19,0,druid,0,0.0,162,comprehensive_java_metrics,1
0,3.0,1.0,2,none,0,0,1.2,18,0.8571428571428571,1,none,1,0,core\src\main\java\com\alibaba\druid\filter\logging\CommonsLogFilterMBean.java,0,0,True,0,0.0,java,0.0,1,21,50.0,13,1,0,0,0,0,1,0,0,0,0,druid,0,0,23,comprehensive_java_metrics,0
0,4.541666666666667,0.08333333333333333,27,none,0,2,9.6,18,0.14173228346456693,8,none,1,0,core\src\main\java\com\alibaba\druid\filter\logging\Log4j2Filter.java,0,0,True,0,0.0,java,0.0,82,127,100,14,2,0,0,1,8,0,24,0,19,0,druid,0,0.0,154,comprehensive_java_metrics,1
0,3.0,1.0,2,none,0,0,1.2,15,0.8333333333333334,1,none,1,0,core\src\main\java\com\alibaba\druid\filter\logging\Log4j2FilterMBean.java,0,0,True,0,0.0,java,0.0,1,18,50.0,13,1,0,0,0,0,1,0,0,0,0,druid,0,0,20,comprehensive_java_metrics,0
0,4.541666666666667,0.08333333333333333,27,none,0,2,9.6,18,0.14173228346456693,8,none,1,0,core\src\main\java\com\alibaba\druid\filter\logging\Log4jFilter.java,0,0,True,0,0.0,java,0.0,82,127,100,14,2,0,0,1,8,0,24,0,19,0,druid,0,0.0,154,comprehensive_java_metrics,1
0,3.0,1.0,2,none,0,0,1.2,18,0.8571428571428571,1,none,1,0,core\src\main\java\com\alibaba\druid\filter\logging\Log4jFilterMBean.java,0,0,True,0,0.0,java,0.0,1,21,50.0,13,1,0,0,0,0,1,0,0,0,0,druid,0,0,23,comprehensive_java_metrics,0
0,8.166666666666666,0.07291666666666667,171,none,0,2,144.0,19,0.023661270236612703,120,none,1,0,core\src\main\java\com\alibaba\druid\filter\logging\LogFilter.java,0,0,True,0,0.0,java,0.0,613,803,100,18,7,1,0,1,111,0,96,3,78,0,druid,0,0.0,974,comprehensive_java_metrics,1
0,62.0,1.0,64,none,0,0,1.2,21,0.25301204819277107,1,none,1,0,core\src\main\java\com\alibaba\druid\filter\logging\LogFilterMBean.java,0,0,True,0,0.0,java,0.0,-2,83,50.0,72,1,0,0,0,0,1,0,0,0,0,druid,0,0,147,comprehensive_java_metrics,0
0,4.791666666666667,0.08333333333333333,31,none,0,2,9.6,15,0.11538461538461539,8,none,2,0,core\src\main\java\com\alibaba\druid\filter\logging\Slf4jLogFilter.java,0,0,True,0,0.0,java,0.0,84,130,100,14,2,0,0,1,8,0,24,0,19,0,druid,0,0.0,161,comprehensive_java_metrics,1
0,4.909090909090909,0.13636363636363635,28,none,0,2,1.2,17,0.136,1,none,0,0,core\src\main\java\com\alibaba\druid\filter\mysql8datetime\MySQL8DateTimeResultSetMetaData.java,0,0,True,0,0.0,java,0.0,80,125,100,14,3,0,0,1,3,0,22,0,22,0,druid,0,0.0,153,comprehensive_java_metrics,1
