project,file,language,dataset_type,type,loc,comment_lines,blank_lines,total_lines,lines_of_code_actual,cyclomatic_complexity,max_nesting_depth,avg_nesting_depth,cognitive_complexity,wmc,dit,noc,cbo,rfc,lcom,num_classes,num_interfaces,num_methods,num_fields,num_public_methods,num_private_methods,num_static_methods,comment_ratio,has_comments,avg_method_loc,max_method_loc,maintainability_index,has_defect,defect_type,num_bugs,bug_severity,afferent_coupling,efferent_coupling,instability,halstead_volume,halstead_difficulty,technical_debt_hours,code_smells,defects
TaskSpecTest,d:\GitIntel\test\trogdor\src\test\java\org\apache\kafka\trogdor\task,java,promise,comprehensive_java_metrics,42,16,8,50,18,2,3,3.0,2.4,1,1,0,1,1,0.0,1,0,1,3,1,0,0,0.38095238095238093,True,26.0,36,50.0,0,none,0,none,1,1,0.5,0,0,0,0,0
ConsumeBenchSpecTest,d:\GitIntel\test\trogdor\src\test\java\org\apache\kafka\trogdor\workload,java,promise,comprehensive_java_metrics,62,16,13,75,33,3,3,0.75,3.5999999999999996,4,1,0,1,4,0.0,1,0,4,0,3,1,0,0.25806451612903225,True,11.5,21,50.0,0,none,0,none,1,1,0.2,0,0,0,0,0
ExternalCommandWorkerTest,d:\GitIntel\test\trogdor\src\test\java\org\apache\kafka\trogdor\workload,java,promise,comprehensive_java_metrics,173,35,18,191,120,11,5,1.0,13.2,5,1,0,2,5,0.0,2,0,5,21,5,0,0,0.2023121387283237,True,27.6,37,50.0,0,none,0,none,2,2,0.2857142857142857,0,0,0,0,0
HistogramTest,d:\GitIntel\test\trogdor\src\test\java\org\apache\kafka\trogdor\workload,java,promise,comprehensive_java_metrics,73,16,13,86,44,3,3,0.75,3.5999999999999996,4,1,0,1,4,0.0,1,0,4,10,3,1,1,0.2191780821917808,True,14.25,24,50.0,0,none,0,none,1,1,0.2,0,0,0,0,0
PayloadGeneratorTest,d:\GitIntel\test\trogdor\src\test\java\org\apache\kafka\trogdor\workload,java,promise,comprehensive_java_metrics,208,16,30,238,162,14,4,0.36363636363636365,16.8,11,1,0,1,11,0.0,1,0,11,56,8,3,3,0.07692307692307693,True,17.454545454545453,27,50.0,0,none,0,none,1,1,0.08333333333333333,0,0,0,0,0
ShareConsumeBenchSpecTest,d:\GitIntel\test\trogdor\src\test\java\org\apache\kafka\trogdor\workload,java,promise,comprehensive_java_metrics,56,16,11,67,29,3,3,0.75,3.5999999999999996,4,1,0,1,4,0.0,1,0,4,3,3,1,0,0.2857142857142857,True,10.0,20,50.0,0,none,0,none,1,1,0.2,0,0,0,0,0
ThrottleTest,d:\GitIntel\test\trogdor\src\test\java\org\apache\kafka\trogdor\workload,java,promise,comprehensive_java_metrics,64,20,10,74,34,2,3,1.0,2.4,3,1,0,2,3,0.0,2,0,3,4,1,0,0,0.3125,True,14.666666666666666,24,50.0,0,none,0,none,2,2,0.4,0,0,0,0,0
TimeIntervalTransactionsGeneratorTest,d:\GitIntel\test\trogdor\src\test\java\org\apache\kafka\trogdor\workload,java,promise,comprehensive_java_metrics,37,16,7,44,14,2,2,2.0,2.4,1,1,0,1,1,0.0,1,0,1,2,1,0,0,0.43243243243243246,True,21.0,31,50.0,0,none,0,none,1,1,0.5,0,0,0,0,0
TopicsSpecTest,d:\GitIntel\test\trogdor\src\test\java\org\apache\kafka\trogdor\workload,java,promise,comprehensive_java_metrics,74,16,15,89,43,2,2,0.6666666666666666,2.4,3,1,0,1,3,0.0,1,0,3,7,3,0,0,0.21621621621621623,True,19.333333333333332,29,50.0,0,none,0,none,1,1,0.25,0,0,0,0,0
Agent,d:\GitIntel\test\trogdor\src\main\java\org\apache\kafka\trogdor\agent,java,promise,comprehensive_java_metrics,245,63,28,273,154,18,4,0.4444444444444444,21.599999999999998,9,1,0,1,9,0.0,1,0,9,29,9,0,1,0.2571428571428571,True,20.22222222222222,30,50.0,0,none,0,none,1,1,0.1,0,0,0,0,0
AgentClient,d:\GitIntel\test\trogdor\src\main\java\org\apache\kafka\trogdor\agent,java,promise,comprehensive_java_metrics,291,25,34,325,232,17,6,0.3333333333333333,20.4,18,1,0,2,18,0.0,2,0,18,40,14,4,4,0.0859106529209622,True,14.777777777777779,24,50.0,0,none,0,none,2,2,0.1,0,0,0,0,0
AgentRestResource,d:\GitIntel\test\trogdor\src\main\java\org\apache\kafka\trogdor\agent,java,promise,comprehensive_java_metrics,98,27,14,112,57,7,3,0.42857142857142855,8.4,7,1,0,1,7,0.0,1,0,7,4,7,1,0,0.2755102040816326,True,10.142857142857142,20,50.0,0,none,0,none,1,1,0.125,0,0,0,0,0
WorkerManager,d:\GitIntel\test\trogdor\src\main\java\org\apache\kafka\trogdor\agent,java,promise,comprehensive_java_metrics,624,126,75,699,423,70,7,0.4117647058823529,84.0,17,1,0,13,17,0.0,13,0,17,64,14,0,0,0.20192307692307693,True,29.294117647058822,39,50.0,0,none,0,none,13,13,0.43333333333333335,0,0,0,0,0
