package,loc,lloc,sloc,comments,blank,file_count
org.apache.kafka.connect.runtime.rest.util,249,249,249,59,58,2
org.apache.kafka.connect.runtime.standalone,1692,1692,1692,177,330,5
org.apache.kafka.connect.sink,399,399,399,549,116,9
org.apache.kafka.connect.source,386,386,386,478,107,11
org.apache.kafka.connect.storage,6899,6899,6899,2117,1393,41
org.apache.kafka.connect.test.util,35,35,35,72,16,2
org.apache.kafka.connect.tools,832,832,832,286,185,14
org.apache.kafka.connect.transforms,5521,5521,5521,696,1191,33
org.apache.kafka.connect.transforms.field,435,435,435,172,85,5
org.apache.kafka.connect.transforms.predicates,278,278,278,155,81,7
org.apache.kafka.connect.transforms.util,136,136,136,99,50,6
org.apache.kafka.connect.util,4526,4526,4526,1505,780,34
org.apache.kafka.connect.util.clusters,1873,1873,1873,905,275,8
org.apache.kafka.controller,20496,20496,20496,3276,2596,67
org.apache.kafka.controller.errors,431,431,431,142,83,5
org.apache.kafka.controller.metrics,1692,1692,1692,206,238,10
org.apache.kafka.coordinator.common.runtime,9929,9929,9929,3691,2105,59
org.apache.kafka.coordinator.group,45423,45423,45423,6395,6874,36
org.apache.kafka.coordinator.group.api.assignor,103,103,103,306,51,11
org.apache.kafka.coordinator.group.assignor,4226,4226,4226,1252,841,15
org.apache.kafka.coordinator.group.classic,2696,2696,2696,871,507,5
org.apache.kafka.coordinator.group.metrics,971,971,971,226,177,6
org.apache.kafka.coordinator.group.modern,2475,2475,2475,928,524,17
org.apache.kafka.coordinator.group.modern.consumer,4498,4498,4498,919,719,9
org.apache.kafka.coordinator.group.modern.share,1408,1408,1408,345,285,9
org.apache.kafka.coordinator.group.streams,6051,6051,6051,1320,1020,23
org.apache.kafka.coordinator.group.streams.assignor,2170,2170,2170,470,420,16
org.apache.kafka.coordinator.group.streams.topics,1742,1742,1742,435,314,18
org.apache.kafka.coordinator.share,6710,6710,6710,812,1109,16
org.apache.kafka.coordinator.share.metrics,259,259,259,86,63,4
org.apache.kafka.coordinator.transaction,1560,1560,1560,452,306,14
org.apache.kafka.deferred,147,147,147,85,27,3
org.apache.kafka.image,4540,4540,4540,1054,883,45
org.apache.kafka.image.loader,1970,1970,1970,358,254,8
org.apache.kafka.image.loader.metrics,430,430,430,95,62,2
org.apache.kafka.image.node,1293,1293,1293,654,355,33
org.apache.kafka.image.node.printer,226,226,226,113,73,5
org.apache.kafka.image.publisher,947,947,947,302,171,9
org.apache.kafka.image.publisher.metrics,144,144,144,40,31,2
org.apache.kafka.image.writer,434,434,434,230,113,11
org.apache.kafka.jmh.acl,265,265,265,42,45,2
org.apache.kafka.jmh.assignor,1196,1196,1196,285,297,8
org.apache.kafka.jmh.cache,47,47,47,22,18,1
org.apache.kafka.jmh.common,464,464,464,116,103,7
org.apache.kafka.jmh.connect,692,692,692,56,77,3
org.apache.kafka.jmh.consumer,69,69,69,16,12,1
org.apache.kafka.jmh.coordinator,544,544,544,68,95,4
org.apache.kafka.jmh.core,360,360,360,36,64,1
org.apache.kafka.jmh.fetcher,290,290,290,20,35,1
org.apache.kafka.jmh.fetchsession,93,93,93,18,17,1
org.apache.kafka.jmh.log,458,458,458,33,67,2
org.apache.kafka.jmh.metadata,422,422,422,74,51,4
org.apache.kafka.jmh.metrics,70,70,70,37,16,1
org.apache.kafka.jmh.partition,275,275,275,37,32,2
org.apache.kafka.jmh.producer,292,292,292,69,50,4
org.apache.kafka.jmh.record,248,248,248,71,50,4
org.apache.kafka.jmh.server,306,306,306,32,47,2
org.apache.kafka.jmh.storage,73,73,73,16,11,1
org.apache.kafka.jmh.timeline,66,66,66,16,10,1
org.apache.kafka.jmh.util,658,658,658,132,81,3
org.apache.kafka.logger,25,25,25,20,10,1
org.apache.kafka.message,6613,6613,6613,921,756,35
org.apache.kafka.message.checker,1265,1265,1265,326,169,15
org.apache.kafka.metadata,4409,4409,4409,1211,754,47
org.apache.kafka.metadata.authorizer,2239,2239,2239,503,368,15
org.apache.kafka.metadata.bootstrap,390,390,390,80,69,4
org.apache.kafka.metadata.placement,660,660,660,417,126,11
org.apache.kafka.metadata.properties,1335,1335,1335,341,202,8
org.apache.kafka.metadata.publisher,257,257,257,101,39,5
org.apache.kafka.metadata.storage,1372,1372,1372,146,151,5
org.apache.kafka.metadata.util,574,574,574,119,94,6
org.apache.kafka.network,1225,1225,1225,148,92,8
org.apache.kafka.network.metrics,188,188,188,58,32,2
org.apache.kafka.queue,891,891,891,263,132,3
org.apache.kafka.raft,29676,29676,29676,4338,5222,86
org.apache.kafka.raft.errors,34,34,34,58,17,3
org.apache.kafka.raft.internals,5390,5390,5390,1411,1051,39
org.apache.kafka.security,126,126,126,35,24,2
org.apache.kafka.security.authorizer,175,175,175,48,32,3
org.apache.kafka.server,5050,5050,5050,991,908,33
org.apache.kafka.server.authorizer,277,277,277,363,95,8
org.apache.kafka.server.common,2102,2102,2102,817,504,28
org.apache.kafka.server.common.serialization,121,121,121,134,30,4
org.apache.kafka.server.config,1076,1076,1076,354,235,15
org.apache.kafka.server.fault,220,220,220,170,68,7
org.apache.kafka.server.immutable,151,151,151,167,49,4
org.apache.kafka.server.immutable.pcollections,1286,1286,1286,158,254,6
org.apache.kafka.server.log,104,104,104,16,13,1
org.apache.kafka.server.log.remote,8,8,8,27,6,1
org.apache.kafka.server.log.remote.metadata.storage,3603,3603,3603,999,647,25
org.apache.kafka.server.log.remote.metadata.storage.serialization,409,409,409,173,86,9
org.apache.kafka.server.log.remote.quota,232,232,232,103,62,5
org.apache.kafka.server.log.remote.storage,8323,8323,8323,2397,1584,44
org.apache.kafka.server.logger,147,147,147,104,38,5
org.apache.kafka.server.metrics,1754,1754,1754,593,413,25
org.apache.kafka.server.mutable,337,337,337,58,63,3
org.apache.kafka.server.network,372,372,372,130,59,5
org.apache.kafka.server.policy,132,132,132,152,37,4
org.apache.kafka.server.purgatory,1808,1808,1808,521,363,15
org.apache.kafka.server.quota,1864,1864,1864,820,419,21
org.apache.kafka.server.record,62,62,62,32,19,2
org.apache.kafka.server.replica,433,433,433,94,69,3
org.apache.kafka.server.share,273,273,273,137,77,5
org.apache.kafka.server.share.acknowledge,16,16,16,25,4,1
org.apache.kafka.server.share.context,232,232,232,114,47,3
org.apache.kafka.server.share.fetch,1166,1166,1166,809,264,20
org.apache.kafka.server.share.metrics,187,187,187,81,45,2
org.apache.kafka.server.share.persister,7612,7612,7612,1142,1552,33
org.apache.kafka.server.share.session,472,472,472,224,111,6
org.apache.kafka.server.storage.log,163,163,163,70,28,4
org.apache.kafka.server.telemetry,20,20,20,117,18,4
org.apache.kafka.server.transaction,703,703,703,86,113,2
org.apache.kafka.server.util,2656,2656,2656,831,517,28
org.apache.kafka.server.util.json,240,240,240,96,51,4
org.apache.kafka.server.util.timer,814,814,814,344,186,12
org.apache.kafka.shell,417,417,417,73,62,3
org.apache.kafka.shell.command,1327,1327,1327,376,273,17
org.apache.kafka.shell.glob,446,446,446,82,63,4
org.apache.kafka.shell.node,51,51,51,47,17,2
org.apache.kafka.shell.node.printer,31,31,31,19,12,1
org.apache.kafka.shell.state,59,59,59,38,21,2
org.apache.kafka.snapshot,1703,1703,1703,507,399,18
org.apache.kafka.storage.internals.checkpoint,681,681,681,280,193,13
org.apache.kafka.storage.internals.epoch,341,341,341,140,56,1
org.apache.kafka.storage.internals.log,16403,16403,16403,5706,3018,106
org.apache.kafka.storage.internals.utils,129,129,129,59,35,2
org.apache.kafka.storage.log.metrics,514,514,514,60,116,2
org.apache.kafka.streams,15670,15670,15670,3893,2626,41
